,Deck_F,SibSp_4,Deck_A,sin(Age_imputed),SibSp_5,Parch_2,Fare_1,relatives_5,Age_imputed,relatives_2,Fare_Per_Person_Power2,Age_3,Title_1,sin(Fare_Per_Person),Deck_G,Age_1,Title_2,Age_2,Age_Class,Fare_3,Parch_0,Pclass_3,Embarked_0,Embarked_2,Parch_4,relatives_10,SibSp_1,Deck_C,Deck_E,Deck_M,Pclass_1,Title_5,Parch_3,Fare_0,Fare_5,relatives_1,SibSp_3,Parch_6,Parch_5,Pclass_2,relatives_6,Deck_D,relatives_4,SibSp_0,Embarked_1,Fare_2,Deck_B,SibSp_2,sin(Age_Class),Parch_1,Fare_4,relatives_3,relatives_7,Sex_female,Age_4,Age_0,Age_5,Title_4,Fare_Per_Person,Title_3,relatives_0,Age_6,Age_Class_divide_sin(Age_imputed),Parch_0_multiply_Age_Class,Fare_Per_Person_Power2_multiply_Fare_Per_Person,Deck_M_multiply_Title_1,Sex_female_multiply_Pclass_1,Fare_Per_Person_multiply_Age_Class,Age_imputed_divide_sin(Fare_Per_Person),Age_Class_divide_Fare_Per_Person_Power2,SibSp_0_multiply_sin(Fare_Per_Person),Title_2_multiply_Fare_Per_Person_Power2,Fare_0_multiply_Age_imputed,Fare_Per_Person_Power2_multiply_sin(Age_imputed),Deck_C_multiply_Age_Class,Sex_female_multiply_Embarked_0,Embarked_0_multiply_Title_1,Sex_female_multiply_Fare_Per_Person,Fare_Per_Person_Power2_divide_Age_Class,sin(Age_Class)_multiply_Title_1,sin(Fare_Per_Person)_multiply_sin(Age_imputed),Age_Class_divide_sin(Fare_Per_Person),Pclass_2_multiply_Sex_female,Fare_Per_Person_divide_Fare_Per_Person_Power2,Fare_1_multiply_sin(Age_imputed),Age_Class_multiply_Age_3,SibSp_0_multiply_Title_1,Title_1_multiply_Deck_M,Embarked_0_multiply_sin(Fare_Per_Person),sin(Age_imputed)_divide_Fare_Per_Person_Power2,sin(Fare_Per_Person)_divide_sin(Age_Class),Sex_female_multiply_Age_Class,Title_1_multiply_sin(Age_imputed),Fare_Per_Person_divide_Age_imputed,sin(Fare_Per_Person)_divide_sin(Age_imputed),Fare_Per_Person_multiply_sin(Age_Class),Pclass_3_multiply_Fare_Per_Person_Power2,sin(Fare_Per_Person)_divide_Fare_Per_Person_Power2,Sex_female_multiply_SibSp_0,sin(Age_imputed)_multiply_Fare_Per_Person_Power2,Title_1_multiply_Fare_Per_Person_Power2,Title_3_multiply_Fare_Per_Person,sin(Age_imputed)_divide_sin(Fare_Per_Person),relatives_0_multiply_Title_1,Sex_female_multiply_Pclass_2,SibSp_0_multiply_sin(Age_imputed),Deck_M_multiply_Fare_Per_Person_Power2,Pclass_3_multiply_Title_1,Fare_Per_Person_Power2_divide_sin(Age_Class),Pclass_1_multiply_Age_Class,Fare_Per_Person_multiply_Sex_female,Sex_female_multiply_Parch_0,Embarked_0_multiply_sin(Age_imputed),SibSp_1_multiply_sin(Age_imputed),Sex_female_multiply_sin(Age_Class),sin(Age_Class)_multiply_SibSp_0,Fare_Per_Person_Power2_multiply_Age_Class,sin(Age_Class)_divide_sin(Age_imputed),Sex_female_multiply_Fare_Per_Person_Power2,Fare_Per_Person_Power2_multiply_Sex_female,Parch_0_multiply_Title_1,Fare_Per_Person_Power2_multiply_sin(Age_Class),Title_3_multiply_Sex_female,Embarked_2_multiply_sin(Age_imputed),Age_Class_multiply_Fare_Per_Person_Power2,Sex_female_multiply_Title_2,SibSp_0_multiply_Age_Class,Age_4_multiply_Age_Class,sin(Age_Class)_divide_Age_imputed,Fare_Per_Person_Power2_multiply_Title_1,sin(Age_Class)_divide_sin(Fare_Per_Person),sin(Age_imputed)_divide_sin(Age_Class),Pclass_1_multiply_sin(Age_Class),sin(Age_Class)_multiply_Fare_Per_Person,SibSp_1_multiply_Age_Class,Survived
0,0.0,0.0,0.0,-0.5213832,0.0,0.0,0.0,0.0,-0.54847115,0.0,9.0,0.0,1.0,0.14112,0.0,0.0,0.0,1.0,0.08131552,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08122593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,-0.15596113,0.08131552,27.0,1.0,0.0,0.24394655,-3.8865585,0.009035057,0.0,0.0,-0.54847115,-4.692449,0.0,0.0,1.0,0.0,110.679985,0.08122593,-0.073577605,0.5762154,0.0,0.33333334,-0.0,0.0,0.0,1.0,0.14112,-0.057931468,1.7373762,0.0,-0.5213832,-5.46975,-0.27066463,0.2436778,9.0,0.01568,0.0,-4.692449,9.0,0.0,-3.694609,0.0,0.0,-0.0,9.0,1.0,110.802055,0.0,0.0,0.0,-0.5213832,-0.5213832,0.0,0.0,0.73183966,-0.1557893,0.0,0.0,1.0,0.7310334,0.0,-0.0,0.73183966,0.0,0.0,0.0,-0.14809518,9.0,0.5755806,-6.418926,0.0,0.2436778,0.08131552,0
1,0.0,0.0,0.0,0.5917378,0.0,0.0,0.0,0.0,0.63321286,0.0,1225.0,0.0,0.0,-0.42818266,0.0,0.0,0.0,0.0,-0.78276306,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.705241,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,35.0,1.0,0.0,0.0,-1.3228208,-0.78276306,42875.0,0.0,1.0,-27.396708,-1.4788382,-0.00063899026,-0.0,0.0,0.0,724.8788,-0.78276306,0.0,0.0,35.0,-1564.9691,-0.0,-0.25337186,1.8281054,0.0,0.028571429,0.0,-0.0,0.0,0.0,-0.0,0.00048305126,0.6071437,-0.78276306,0.0,55.27367,-0.723602,-24.683435,0.0,-0.00034953686,0.0,724.8788,0.0,35.0,-1.3819752,0.0,0.0,0.0,0.0,0.0,-1736.9948,-0.78276306,35.0,1.0,0.0,0.5917378,-0.705241,-0.0,-958.88477,-1.1918133,1225.0,1225.0,0.0,-863.9202,1.0,0.5917378,-958.88477,0.0,-0.0,-0.0,-1.1137503,0.0,1.6470565,-0.83905756,-0.705241,-24.683435,-0.78276306,1
2,0.0,0.0,0.0,-0.25035813,0.0,0.0,1.0,0.0,-0.25305015,0.0,49.0,1.0,0.0,0.6569866,0.0,0.0,1.0,0.0,0.4516349,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4364371,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,-1.8039554,0.4516349,343.0,0.0,0.0,3.1614444,-0.3851679,0.009217039,0.6569866,49.0,-0.0,-12.267549,0.0,1.0,0.0,7.0,108.49471,0.0,-0.16448194,0.68743396,0.0,0.14285715,-0.25035813,0.4516349,0.0,0.0,0.6569866,-0.0051093497,1.5053408,0.4516349,-0.0,-27.6625,-2.6241872,3.0550597,49.0,0.01340789,1.0,-12.267549,0.0,0.0,-0.38107038,0.0,0.0,-0.25035813,49.0,0.0,112.272766,0.0,7.0,1.0,-0.25035813,-0.0,0.4364371,0.4364371,22.130112,-1.7432511,49.0,49.0,0.0,21.385418,0.0,-0.0,22.130112,1.0,0.4516349,0.0,-1.7247059,0.0,0.6643014,-0.5736408,0.0,3.0550597,0.0,1
3,0.0,0.0,0.0,0.40011942,0.0,0.0,0.0,0.0,0.41164714,0.0,676.0,0.0,0.0,0.7625584,0.0,0.0,0.0,0.0,-0.8753429,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.76776326,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,26.0,1.0,0.0,0.0,-2.187704,-0.8753429,17576.0,0.0,1.0,-22.758915,0.5398238,-0.001294886,0.0,0.0,0.0,270.48074,-0.8753429,1.0,0.0,26.0,-772.2688,-0.0,0.30511442,-1.1479027,0.0,0.03846154,0.0,-0.0,0.0,0.0,0.7625584,0.00059189263,-0.99322075,-0.8753429,0.0,63.16089,1.905827,-19.961845,0.0,0.001128045,0.0,270.48074,0.0,26.0,0.5247066,0.0,0.0,0.0,0.0,0.0,-880.47974,-0.8753429,26.0,1.0,0.40011942,0.40011942,-0.76776326,-0.0,-591.7318,-1.9188353,676.0,676.0,0.0,-519.00793,1.0,0.0,-591.7318,0.0,-0.0,-0.0,-1.8651004,0.0,-1.0068256,-0.52114946,-0.76776326,-19.961845,-0.8753429,1
4,0.0,0.0,0.0,0.40011942,0.0,0.0,1.0,0.0,0.41164714,0.0,64.0,0.0,1.0,0.98935825,0.0,0.0,0.0,0.0,1.2848536,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9593962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,3.2111752,1.2848536,512.0,1.0,0.0,10.278829,0.4160749,0.020075837,0.98935825,0.0,0.0,25.607643,0.0,0.0,1.0,0.0,49.811123,0.9593962,0.39586145,1.2986737,0.0,0.125,0.40011942,0.0,1.0,1.0,0.98935825,0.006251866,1.0312301,0.0,0.40011942,19.43412,2.4726574,7.6751695,64.0,0.015458723,0.0,25.607643,64.0,0.0,0.4044232,1.0,0.0,0.40011942,64.0,1.0,66.708626,0.0,0.0,0.0,0.40011942,0.0,0.0,0.9593962,82.23063,2.3977747,0.0,0.0,1.0,61.401356,0.0,0.0,82.23063,0.0,1.2848536,0.0,2.3306277,64.0,0.96971565,0.41705337,0.0,7.6751695,0.0,0
5,0.0,0.0,0.0,-0.051779483,0.0,0.0,1.0,0.0,-0.05180265,0.0,64.0,0.0,1.0,0.98935825,0.0,0.0,0.0,0.0,0.70390487,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6471994,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,-13.594281,0.70390487,512.0,1.0,0.0,5.631239,-0.05235985,0.010998514,0.98935825,0.0,-0.0,-3.313887,0.0,0.0,0.0,0.0,90.92138,0.6471994,-0.051228456,0.7114762,0.0,0.125,-0.051779483,0.0,1.0,1.0,0.0,-0.0008090544,1.5286762,0.0,-0.051779483,-154.43225,-19.10715,5.177595,64.0,0.015458723,0.0,-3.313887,64.0,0.0,-0.052336436,1.0,0.0,-0.051779483,64.0,1.0,98.88761,0.0,0.0,0.0,-0.0,-0.0,0.0,0.6471994,45.04991,-12.499147,0.0,0.0,1.0,41.42076,0.0,-0.0,45.04991,0.0,0.70390487,0.70390487,-12.493558,64.0,0.6541608,-0.08000546,0.0,5.177595,0.0,0
6,0.0,0.0,0.0,0.9703551,0.0,0.0,0.0,0.0,1.814897,0.0,2601.0,0.0,1.0,0.67022914,0.0,0.0,0.0,0.0,-0.28900388,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.28499755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,1.0,1.0,-0.2978331,-0.28900388,132651.0,0.0,0.0,-14.739198,2.7078753,-0.000111112604,0.67022914,0.0,0.0,2523.8936,-0.0,0.0,1.0,0.0,-8999.879,-0.28499755,0.6503603,-0.4312016,0.0,0.019607844,0.0,-0.0,1.0,0.0,0.67022914,0.00037307,-2.3517013,-0.0,0.9703551,28.100769,0.690705,-14.534875,0.0,0.00025768133,0.0,2523.8936,2601.0,0.0,1.447796,1.0,0.0,0.9703551,0.0,0.0,-9126.395,-0.28900388,0.0,0.0,0.9703551,0.0,-0.0,-0.28499755,-751.6991,-0.2937044,0.0,0.0,1.0,-741.2786,0.0,0.0,-751.6991,0.0,-0.28900388,-0.0,-0.15703236,2601.0,-0.42522407,-3.404784,-0.28499755,-14.534875,-0.0,0
7,0.0,0.0,0.0,-0.8983577,0.0,0.0,0.0,0.0,-2.0255764,0.0,16.0,0.0,0.0,-0.7568025,0.0,0.0,0.0,0.0,-1.7702814,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.98016876,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,1.9705752,-0.0,64.0,0.0,0.0,-7.0811257,2.6764927,-0.11064259,-0.0,0.0,-0.0,-14.373723,-0.0,0.0,0.0,0.0,-9.038111,-0.0,0.67987937,2.339159,0.0,0.25,-0.0,-0.0,0.0,0.0,-0.7568025,-0.056147356,0.7721145,-0.0,-0.0,-1.9747466,0.8424289,-3.920675,16.0,-0.047300156,0.0,-14.373723,0.0,0.0,1.1870438,0.0,0.0,-0.0,16.0,0.0,-16.323719,-0.0,0.0,0.0,-0.8983577,-0.0,-0.0,-0.0,-28.324503,1.0910673,0.0,0.0,0.0,-15.6827,0.0,-0.0,-28.324503,0.0,-0.0,-0.0,0.48389623,0.0,1.2951447,0.9165337,-0.0,-3.920675,-0.0,0
8,0.0,0.0,0.0,-0.17823742,0.0,1.0,1.0,0.0,-0.1791949,1.0,9.0,1.0,0.0,0.14112,0.0,0.0,0.0,0.0,0.5442148,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.51774645,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,-3.0533137,0.0,27.0,0.0,0.0,1.6326444,-1.2698051,0.06046831,0.14112,0.0,-0.0,-1.6041368,0.0,1.0,0.0,3.0,16.537588,0.0,-0.025152866,3.8563972,0.0,0.33333334,-0.17823742,0.5442148,0.0,0.0,0.14112,-0.019804157,0.27256584,0.5442148,-0.0,-16.741549,-0.79175293,1.5532393,9.0,0.01568,1.0,-1.6041368,0.0,3.0,-1.2630203,0.0,0.0,-0.17823742,9.0,0.0,17.383026,0.0,3.0,0.0,-0.17823742,-0.0,0.51774645,0.51774645,4.897933,-2.9048133,9.0,9.0,0.0,4.659718,1.0,-0.0,4.897933,0.0,0.5442148,0.0,-2.8892925,0.0,3.6688383,-0.3442562,0.0,1.5532393,0.0,1
9,0.0,0.0,0.0,-0.9083465,0.0,0.0,0.0,0.0,-1.1393132,0.0,225.0,0.0,0.0,0.65028787,0.0,1.0,0.0,0.0,-1.0913626,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.88725626,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,1.2014828,-1.0913626,3375.0,0.0,0.0,-16.37044,-1.7520137,-0.0048505003,0.0,0.0,-0.0,-204.37796,-0.0,0.0,0.0,15.0,-206.16429,-0.0,-0.5906867,-1.6782761,1.0,0.06666667,-0.0,-0.0,0.0,0.0,0.0,-0.0040370952,-0.73292,-1.0913626,-0.0,-13.165827,-0.71590286,-13.308844,0.0,0.0028901682,0.0,-204.37796,0.0,15.0,-1.3968375,0.0,1.0,-0.0,225.0,0.0,-253.59077,-0.0,15.0,1.0,-0.0,-0.9083465,-0.88725626,-0.0,-245.55658,0.9767818,225.0,225.0,0.0,-199.63266,1.0,-0.9083465,-245.55658,0.0,-0.0,-0.0,0.7787641,0.0,-1.3644054,1.0237701,-0.0,-13.308844,-1.0913626,1
